drug,usual_mg,toxic_mg,notes
semaglutide,0.25,2,GLP-1 agonist; GI effects
sitagliptin,50,100,DPP-4 inhibitor
linagliptin,5,10,DPP-4 inhibitor; renal friendly
atorvastatin,10,80,Statin; myopathy at high doses
rosuvastatin,5,40,Potent statin; rhabdomyolysis rare
simvastatin,20,80,Drug interactions ↑ risk
fenofibrate,145,400,Triglyceride lowering; myopathy with statins
ezetimibe,10,20,Cholesterol absorption blocker
losartan,25,100,ARB; hyperkalemia risk
telmisartan,40,80,ARB; avoid dual renin blockade
olmesartan,20,40,ARB
amlodipine,5,10,CCB; peripheral edema
nifedipine,10,60,Rapid-acting forms unsafe
metoprolol,25,200,Beta-blocker; bradycardia risk
propranolol,20,240,Beta-blocker; bronchospasm in asthma
bisoprolol,2.5,10,Beta-blocker; heart block risk
carvedilol,6.25,50,Alpha-beta blocker
hydrochlorothiazide,12.5,50,Hypokalemia risk
furosemide,20,240,Loop diuretic; electrolyte imbalance
spironolactone,25,200,Potassium-sparing; hyperkalemia
torsemide,10,200,Loop diuretic
clopidogrel,75,300,Antiplatelet; bleeding risk
ticagrelor,90,180,Antiplatelet; avoid with strong CYP3A4 inhibitors
prasugrel,10,20,Potent antiplatelet
heparin,5000,40000,Bleeding risk; monitor aPTT
enoxaparin,40,200,Bleeding risk; weight-dependent dosing
apixaban,5,20,Factor Xa inhibitor; bleeding risk
rivaroxaban,10,30,Anticoagulant; avoid in renal failure
dabigatran,75,300,Direct thrombin inhibitor; GI upset
azithromycin,500,2000,Macrolide; QT prolongation
clarithromycin,250,1000,Macrolide; CYP interactions
amoxicillin,500,3000,Penicillin; safe in pregnancy
augmentin,625,3000,Amoxicillin + clavulanate
cefuroxime,250,1500,2nd gen cephalosporin
cefixime,200,400,3rd gen cephalosporin
ceftriaxone,1000,4000,IV only; biliary sludge risk
doxycycline,100,300,Photosensitivity; avoid in pregnancy
minocycline,50,200,Tetracycline class
ciprofloxacin,500,1500,Fluoroquinolone; tendon rupture risk
levofloxacin,500,1500,QT prolongation
ofloxacin,200,800,Fluoroquinolone; CNS effects
metronidazole,400,2000,Disulfiram reaction with alcohol
tinidazole,500,2000,Antiprotozoal
fluconazole,150,800,QT prolongation; drug interactions
itraconazole,100,400,CYP3A4 inhibitor; hepatotoxicity
terbinafine,250,500,Liver risk
omeprazole,20,80,PPI; long-term magnesium deficiency
pantoprazole,40,80,PPI
rabeprazole,20,40,PPI
esomeprazole,20,80,PPI
ranitidine,150,600,H2 blocker (withdrawn in some markets)
famotidine,20,80,H2 blocker; safe
ondansetron,4,32,QT prolongation at high doses
domperidone,10,30,QT prolongation warning
metoclopramide,10,40,Extrapyramidal symptoms risk
levocetirizine,5,10,Antihistamine; sedation rare
cetirizine,10,40,Common antihistamine
fexofenadine,120,360,Non-sedating antihistamine
montelukast,10,20,Leukotriene blocker
salbutamol,2,12,Tachycardia at high doses
budesonide,200,1600,Inhaled steroid
fluticasone,100,500,Inhaled steroid; oral thrush risk
tiotropium,18,36,COPD inhaler; anticholinergic
ipratropium,20,200,Bronchodilator
lisinopril,5,40,ACE inhibitor; cough & angioedema
ramipril,2.5,10,ACE inhibitor
isosorbide dinitrate,10,80,Nitrate; tolerance develops
nitroglycerin,0.4,2,Potent vasodilator
ferrous sulfate,325,975,GI upset
folic acid,5,20,Safe vitamin; high doses mask B12 deficiency
vitamin B12,500,3000,Generally safe
vitamin D3,1000,10000,Toxicity at very high chronic doses
calcium carbonate,500,3000,Constipation risk
magnesium oxide,400,2000,Diarrhea at high doses
zinc,20,150,High doses cause nausea and copper deficiency
meloxicam,7.5,30,NSAID; long half-life; GI/renal risk at high doses (approximate; dev use only)
indomethacin,25,200,Potent NSAID; CNS/GI side effects (approximate; dev use only)
valproate,500,3000,Antiepileptic; liver and teratogenic risk (approximate; dev use only)
carbamazepine,200,1600,Antiepileptic; blood dyscrasias risk (approximate; dev use only)
lamotrigine,50,600,Antiepileptic; rash/SJS risk (approximate; dev use only)
levetiracetam,500,3000,Antiepileptic; mood/behaviour changes (approximate; dev use only)
phenytoin,100,800,Antiepileptic; narrow therapeutic index (approximate; dev use only)
topiramate,50,400,Antiepileptic; cognitive slowing, kidney stones (approximate; dev use only)
oxcarbazepine,300,1800,Antiepileptic; hyponatremia risk (approximate; dev use only)
risperidone,1,12,Atypical antipsychotic; EPS/prolactin risk (approximate; dev use only)
olanzapine,5,40,Atypical antipsychotic; metabolic syndrome risk (approximate; dev use only)
quetiapine,50,800,Atypical antipsychotic; sedation, metabolic risk (approximate; dev use only)
aripiprazole,5,45,Atypical antipsychotic; akathisia risk (approximate; dev use only)
haloperidol,1,30,Typical antipsychotic; EPS/QT prolongation (approximate; dev use only)
lithium,300,1800,Mood stabilizer; narrow therapeutic index (approximate; dev use only)
clonidine,0.1,1.2,Alpha-2 agonist; hypotension/rebound HTN (approximate; dev use only)
levothyroxine,50,300,Thyroid hormone; dose individualized (approximate; dev use only)
liothyronine,5,75,T3; faster onset; arrhythmia risk (approximate; dev use only)
methimazole,5,60,Antithyroid; agranulocytosis risk (approximate; dev use only)
loperamide,2,16,Antidiarrheal; central toxicity at high doses (approximate; dev use only)
lactulose,15,90,Osmotic laxative; titrate to effect (approximate; dev use only)
mesalamine,500,4000,5-ASA; IBD maintenance (approximate; dev use only)
sulfasalazine,500,4000,5-ASA + sulfa; GI/hematologic risk (approximate; dev use only)
formoterol,12,48,LABA inhaler; use with ICS (approximate; dev use only)
salmeterol,50,200,LABA inhaler; use with ICS (approximate; dev use only)
theophylline,200,1200,Bronchodilator; narrow therapeutic index (approximate; dev use only)
piroxicam,20,80,NSAID; higher GI risk (approximate; dev use only)
buprenorphine,2,32,Partial opioid agonist; ceiling effect (approximate; dev use only)
naloxone,0.4,10,Opioid antagonist; short-acting (approximate; dev use only)
naltrexone,50,300,Opioid/alcohol dependence; hepatotoxicity at high doses (approximate; dev use only)
piperacillin-tazobactam,4500,18000,IV broad-spectrum antibiotic (approximate; dev use only)
meropenem,1000,6000,IV carbapenem; broad-spectrum (approximate; dev use only)
vancomycin,1000,6000,IV glycopeptide; trough monitoring (approximate; dev use only)
linezolid,600,2400,Oxazolidinone; myelosuppression risk (approximate; dev use only)
clindamycin,300,2400,Lincosamide; C. difficile risk (approximate; dev use only)
co-trimoxazole,960,3840,SMX/TMP combo; rash, hyperkalemia (approximate; dev use only)
nitrofurantoin,100,600,UTI antibiotic; avoid in severe renal impairment (approximate; dev use only)
rifampicin,600,2400,TB drug; strong enzyme inducer (approximate; dev use only)
isoniazid,300,900,TB drug; neuropathy/hepatotoxicity (approximate; dev use only)
ethambutol,800,2400,TB drug; optic neuritis risk (approximate; dev use only)
pyrazinamide,1500,4500,TB drug; hyperuricemia, hepatotoxicity (approximate; dev use only)
digoxin,0.25,1,Cardiac glycoside; very narrow therapeutic index (approximate; dev use only)
amiodarone,200,1600,Antiarrhythmic; multiple organ toxicities (approximate; dev use only)
verapamil,80,480,Non-DHP CCB; bradycardia/constipation (approximate; dev use only)
diltiazem,60,360,Non-DHP CCB; bradycardia risk (approximate; dev use only)
ivabradine,5,20,Sinus node inhibitor; bradycardia/visual effects (approximate; dev use only)
isosorbide mononitrate,20,120,Long-acting nitrate; headache/hypotension (approximate; dev use only)
ranolazine,500,2000,Antianginal; QT prolongation risk (approximate; dev use only)
