drug,usual_mg,toxic_mg,notes
semaglutide,0.25,2,GLP-1 agonist; GI effects
sitagliptin,50,100,DPP-4 inhibitor
linagliptin,5,10,DPP-4 inhibitor; renal friendly
atorvastatin,10,80,Statin; myopathy at high doses
rosuvastatin,5,40,Potent statin; rhabdomyolysis rare
simvastatin,20,80,Drug interactions ↑ risk
fenofibrate,145,400,Triglyceride lowering; myopathy with statins
ezetimibe,10,20,Cholesterol absorption blocker
losartan,25,100,ARB; hyperkalemia risk
telmisartan,40,80,ARB; avoid dual renin blockade
olmesartan,20,40,ARB
amlodipine,5,10,CCB; peripheral edema
nifedipine,10,60,Rapid-acting forms unsafe
metoprolol,25,200,Beta-blocker; bradycardia risk
propranolol,20,240,Beta-blocker; bronchospasm in asthma
bisoprolol,2.5,10,Beta-blocker; heart block risk
carvedilol,6.25,50,Alpha-beta blocker
hydrochlorothiazide,12.5,50,Hypokalemia risk
furosemide,20,240,Loop diuretic; electrolyte imbalance
spironolactone,25,200,Potassium-sparing; hyperkalemia
torsemide,10,200,Loop diuretic
clopidogrel,75,300,Antiplatelet; bleeding risk
ticagrelor,90,180,Antiplatelet; avoid with strong CYP3A4 inhibitors
prasugrel,10,20,Potent antiplatelet
heparin,5000,40000,Bleeding risk; monitor aPTT
enoxaparin,40,200,Bleeding risk; weight-dependent dosing
apixaban,5,20,Factor Xa inhibitor; bleeding risk
rivaroxaban,10,30,Anticoagulant; avoid in renal failure
dabigatran,75,300,Direct thrombin inhibitor; GI upset
azithromycin,500,2000,Macrolide; QT prolongation
clarithromycin,250,1000,Macrolide; CYP interactions
amoxicillin,500,3000,Penicillin; safe in pregnancy
augmentin,625,3000,Amoxicillin + clavulanate
cefuroxime,250,1500,2nd gen cephalosporin
cefixime,200,400,3rd gen cephalosporin
ceftriaxone,1000,4000,IV only; biliary sludge risk
doxycycline,100,300,Photosensitivity; avoid in pregnancy
minocycline,50,200,Tetracycline class
ciprofloxacin,500,1500,Fluoroquinolone; tendon rupture risk
levofloxacin,500,1500,QT prolongation
ofloxacin,200,800,Fluoroquinolone; CNS effects
metronidazole,400,2000,Disulfiram reaction with alcohol
tinidazole,500,2000,Antiprotozoal
fluconazole,150,800,QT prolongation; drug interactions
itraconazole,100,400,CYP3A4 inhibitor; hepatotoxicity
terbinafine,250,500,Liver risk
omeprazole,20,80,PPI; long-term magnesium deficiency
pantoprazole,40,80,PPI
rabeprazole,20,40,PPI
esomeprazole,20,80,PPI
ranitidine,150,600,H2 blocker (withdrawn in some markets)
famotidine,20,80,H2 blocker; safe
ondansetron,4,32,QT prolongation at high doses
domperidone,10,30,QT prolongation warning
metoclopramide,10,40,Extrapyramidal symptoms risk
levocetirizine,5,10,Antihistamine; sedation rare
cetirizine,10,40,Common antihistamine
fexofenadine,120,360,Non-sedating antihistamine
montelukast,10,20,Leukotriene blocker
salbutamol,2,12,Tachycardia at high doses
budesonide,200,1600,Inhaled steroid
fluticasone,100,500,Inhaled steroid; oral thrush risk
tiotropium,18,36,COPD inhaler; anticholinergic
ipratropium,20,200,Bronchodilator
lisinopril,5,40,ACE inhibitor; cough & angioedema
ramipril,2.5,10,ACE inhibitor
isosorbide dinitrate,10,80,Nitrate; tolerance develops
nitroglycerin,0.4,2,Potent vasodilator
ferrous sulfate,325,975,GI upset
folic acid,5,20,Safe vitamin; high doses mask B12 deficiency
vitamin B12,500,3000,Generally safe
vitamin D3,1000,10000,Toxicity at very high chronic doses
calcium carbonate,500,3000,Constipation risk
magnesium oxide,400,2000,Diarrhea at high doses
zinc,20,150,High doses cause nausea and copper deficiency
